status	url	final_url	reviewed_at	reviewed_by	review_notes
000ERR	https://www.dhhs.nh.gov/programs-services/medicaid	https://www.dhhs.nh.gov/programs-services/medicaid			
000ERR	https://www.dhhs.nh.gov/programs-services/medicaid/food-stamp-program	https://www.dhhs.nh.gov/programs-services/medicaid/food-stamp-program			
000ERR	https://www.dhs.pa.gov/Services/Assistance/Pages/Medical-Assistance-Health-Care.aspx	https://www.dhs.pa.gov/Services/Assistance/Pages/Medical-Assistance-Health-Care.aspx			
000ERR	https://www.dhs.pa.gov/Services/Assistance/Pages/SNAP.aspx	https://www.dhs.pa.gov/Services/Assistance/Pages/SNAP.aspx			
000ERR	https://www.dhs.state.il.us/page.aspx?item=30357	https://www.dhs.state.il.us/page.aspx?item=30357			
000ERR	https://www.dhs.wisconsin.gov/badgercareplus/	https://www.dhs.wisconsin.gov/badgercareplus/			
000ERR	https://www.dhs.wisconsin.gov/foodshare/index.htm	https://www.dhs.wisconsin.gov/foodshare/index.htm			
000ERR	https://www.dmas.virginia.gov/	https://www.dmas.virginia.gov/			
000ERR	https://www.dor.ms.gov	https://www.dor.ms.gov/			
000ERR	https://www.dshs.wa.gov/esa/community-services-offices/basic-food	https://www.dshs.wa.gov/esa/community-services-offices/basic-food			
000ERR	https://www.dss.virginia.gov/benefit/snap.cgi	https://www.dss.virginia.gov/benefit/snap.cgi			
000ERR	https://www.eia.gov/consumption/residential/	https://www.eia.gov/consumption/residential/			
000ERR	https://www.epi.org/resources/budget/budget-factsheets/	https://www.epi.org/resources/budget/budget-factsheets/			
000ERR	https://www.floridakidcare.org/	https://www.floridakidcare.org/			
000ERR	https://www.fns.usda.gov/snap/recipient/eligibility	https://www.fns.usda.gov/snap/recipient/eligibility			
000ERR	https://www.ftb.ca.gov	https://www.ftb.ca.gov/			
000ERR	https://www.greenmountaincare.org/	https://www.greenmountaincare.org/			
000ERR	https://www.greenmountaincare.org/dr-dynasaur	https://www.greenmountaincare.org/dr-dynasaur			
000ERR	https://www.hca.nm.gov/lookingforassistance/snap/	https://www.hca.nm.gov/lookingforassistance/snap/			
000ERR	https://www.hca.nm.gov/lookingforinformation/medicaid/	https://www.hca.nm.gov/lookingforinformation/medicaid/			
000ERR	https://www.hca.wa.gov/health-care-services-supports/apple-health-medicaid-coverage	https://www.hca.wa.gov/health-care-services-supports/apple-health-medicaid-coverage			
000ERR	https://www.hca.wa.gov/health-care-services-supports/apple-health-medicaid-coverage/free-or-low-cost-health-care	https://www.hca.wa.gov/health-care-services-supports/apple-health-medicaid-coverage/free-or-low-cost-health-care			
000ERR	https://www.health.ny.gov/health_care/child_health_plus/	https://www.health.ny.gov/health_care/child_health_plus/			
000ERR	https://www.health.ny.gov/health_care/medicaid/	https://www.health.ny.gov/health_care/medicaid/			
000ERR	https://www.hhs.nd.gov/medicaid	https://www.hhs.nd.gov/medicaid			
000ERR	https://www.hhs.nd.gov/medicaid/healthy-steps	https://www.hhs.nd.gov/medicaid/healthy-steps			
000ERR	https://www.hhs.nd.gov/snap	https://www.hhs.nd.gov/snap			
000ERR	https://www.hhs.texas.gov/services/food/snap-food-benefits	https://www.hhs.texas.gov/services/food/snap-food-benefits			
000ERR	https://www.hhs.texas.gov/services/health/medicaid-chip	https://www.hhs.texas.gov/services/health/medicaid-chip			
000ERR	https://www.hhs.texas.gov/services/health/medicaid-chip/programs/childrens-health-insurance-program-chip	https://www.hhs.texas.gov/services/health/medicaid-chip/programs/childrens-health-insurance-program-chip			
000ERR	https://www.hud.gov/hudclips/handbooks/housing-4350-3	https://www.hud.gov/hudclips/handbooks/housing-4350-3	2026-05-02	bcorbin	HUD Handbook 4350.3 REV-1, Change 4 (Nov 2013). Confirmed the landing page lists the handbook + chapters; Ch. 3 covers occupancy. Replaces the 404'd /sites/dfiles/OCHCO/documents/4350.3.pdf citation.
000ERR	https://www.huduser.gov/portal/datasets/fmr.html	https://www.huduser.gov/portal/datasets/fmr.html			
000ERR	https://www.in.gov/dor	https://www.in.gov/dor			
000ERR	https://www.in.gov/fssa/dfr/snap/	https://www.in.gov/fssa/dfr/snap/			
000ERR	https://www.in.gov/medicaid/	https://www.in.gov/medicaid/			
000ERR	https://www.in.gov/medicaid/members/health-coverage-programs/programs-by-name/hoosier-healthwise/	https://www.in.gov/medicaid/members/health-coverage-programs/programs-by-name/hoosier-healthwise/			
000ERR	https://www.insurekidsnow.gov	https://www.insurekidsnow.gov/			
000ERR	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf	https://www.irs.gov/pub/irs-drop/rp-25-32.pdf			
000ERR	https://www.kff.org/health-costs/report/employer-health-benefits-annual-survey/	https://www.kff.org/health-costs/report/employer-health-benefits-annual-survey/			
000ERR	https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/	https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/			
000ERR	https://www.ksrevenue.gov	https://www.ksrevenue.gov/			
000ERR	https://www.maine.gov/dhhs/ofi/programs-services/food-supplement	https://www.maine.gov/dhhs/ofi/programs-services/food-supplement			
000ERR	https://www.maine.gov/dhhs/ofi/programs-services/mainecare	https://www.maine.gov/dhhs/ofi/programs-services/mainecare			
000ERR	https://www.maine.gov/revenue	https://www.maine.gov/revenue			
000ERR	https://www.marylandtaxes.gov	https://www.marylandtaxes.gov/			
000ERR	https://www.mass.gov/masshealth	https://www.mass.gov/masshealth			
000ERR	https://www.mass.gov/orgs/massachusetts-department-of-revenue	https://www.mass.gov/orgs/massachusetts-department-of-revenue			
000ERR	https://www.mass.gov/snap-benefits-formerly-food-stamps	https://www.mass.gov/snap-benefits-formerly-food-stamps			
000ERR	https://www.mdhs.ms.gov/economic-assistance/snap/	https://www.mdhs.ms.gov/economic-assistance/snap/			
000ERR	https://www.medicaid.gov/chip/eligibility/index.html	https://www.medicaid.gov/chip/eligibility/index.html			
000ERR	https://www.medicaid.gov/medicaid/index.html	https://www.medicaid.gov/medicaid/index.html			
000ERR	https://www.medicaid.la.gov/	https://www.medicaid.la.gov/			
000ERR	https://www.michigan.gov/mdhhs/assistance-programs/food-assistance	https://www.michigan.gov/mdhhs/assistance-programs/food-assistance			
000ERR	https://www.michigan.gov/mdhhs/assistance-programs/medicaid	https://www.michigan.gov/mdhhs/assistance-programs/medicaid			
000ERR	https://www.michigan.gov/mdhhs/assistance-programs/medicaid/michild	https://www.michigan.gov/mdhhs/assistance-programs/medicaid/michild			
000ERR	https://www.michigan.gov/treasury	https://www.michigan.gov/treasury			
000ERR	https://www.myflfamilies.com/services/public-assistance/food-assistance	https://www.myflfamilies.com/services/public-assistance/food-assistance			
000ERR	https://www.ncdhhs.gov/divisions/social-services/food-and-nutrition-services-food-stamps	https://www.ncdhhs.gov/divisions/social-services/food-and-nutrition-services-food-stamps			
000ERR	https://www.ncdor.gov	https://www.ncdor.gov/			
000ERR	https://www.ncsl.org/labor-and-employment/state-minimum-wages	https://www.ncsl.org/labor-and-employment/state-minimum-wages			
000ERR	https://www.nj.gov/humanservices/njsnap/	https://www.nj.gov/humanservices/njsnap/			
000ERR	https://www.nj.gov/treasury/taxation	https://www.nj.gov/treasury/taxation			
000ERR	https://www.njfamilycare.org/	https://www.njfamilycare.org/			
000ERR	https://www.numbeo.com/cost-of-living/	https://www.numbeo.com/cost-of-living/			
000ERR	https://www.okhca.org/	https://www.okhca.org/			
000ERR	https://www.oregon.gov/dor	https://www.oregon.gov/dor			
000ERR	https://www.oregon.gov/odhs/food/Pages/default.aspx	https://www.oregon.gov/odhs/food/Pages/default.aspx			
000ERR	https://www.oregon.gov/oha/hsd/ohp/Pages/index.aspx	https://www.oregon.gov/oha/hsd/ohp/Pages/index.aspx			
000ERR	https://www.rentcafe.com/average-rent-market-trends/us/	https://www.rentcafe.com/average-rent-market-trends/us/			
000ERR	https://www.revenue.nh.gov	https://www.revenue.nh.gov/			
000ERR	https://www.revenue.pa.gov	https://www.revenue.pa.gov/			
000ERR	https://www.revenue.state.mn.us	https://www.revenue.state.mn.us/			
000ERR	https://www.revenue.wi.gov	https://www.revenue.wi.gov/			
000ERR	https://www.ssa.gov/oact/cola/cbb.html	https://www.ssa.gov/oact/cola/cbb.html			
000ERR	https://www.tax.nd.gov	https://www.tax.nd.gov/			
000ERR	https://www.tax.newmexico.gov	https://www.tax.newmexico.gov/			
000ERR	https://www.tax.ny.gov	https://www.tax.ny.gov/			
000ERR	https://www.tax.virginia.gov	https://www.tax.virginia.gov/			
000ERR	https://www.tn.gov/humanservices/for-families/supplemental-nutrition-assistance-program-snap.html	https://www.tn.gov/humanservices/for-families/supplemental-nutrition-assistance-program-snap.html			
000ERR	https://www.tn.gov/revenue	https://www.tn.gov/revenue			
000ERR	https://www.tn.gov/tenncare.html	https://www.tn.gov/tenncare.html			
000ERR	https://www.tn.gov/tenncare/members-applicants/coverkids.html	https://www.tn.gov/tenncare/members-applicants/coverkids.html			
000ERR	https://www.zillow.com/research/data/	https://www.zillow.com/research/data/			
